State_Code,County_Code,Parameter_Code,Metric_Used,Year,Arithmetic_Mean,Local_Site_Name,Address,State_Name,County_Name,City_Name
1,071,42401,Daily maximum 1-hour average,1992,16.112994,,TVA_WIDOWS_CRK_11_2.0_MI_ESE_WIDOWS_CRK,Alabama,Jackson,Not_in_a_city
1,071,42401,Observed Values,1992,3.64441,,TVA_WIDOWS_CRK_11_2.0_MI_ESE_WIDOWS_CRK,Alabama,Jackson,Not_in_a_city
1,071,42401,Daily Average of observed values,1992,3.663559,,TVA_WIDOWS_CRK_11_2.0_MI_ESE_WIDOWS_CRK,Alabama,Jackson,Not_in_a_city
1,071,42401,3-Hour block average of observed hourly values,1992,3.605138,,TVA_WIDOWS_CRK_11_2.0_MI_ESE_WIDOWS_CRK,Alabama,Jackson,Not_in_a_city
1,071,42401,Daily maximum 1-hour average,1992,20.247934,,TVA_WIDOWS_CRK_146.6_MI_SE_WIDOWS_CRK_FP,Alabama,Jackson,Not_in_a_city
1,071,42401,Observed Values,1992,5.065622,,TVA_WIDOWS_CRK_146.6_MI_SE_WIDOWS_CRK_FP,Alabama,Jackson,Not_in_a_city
1,071,42401,Daily Average of observed values,1992,5.078099,,TVA_WIDOWS_CRK_146.6_MI_SE_WIDOWS_CRK_FP,Alabama,Jackson,Not_in_a_city
1,071,42401,3-Hour block average of observed hourly values,1992,5.034372,,TVA_WIDOWS_CRK_146.6_MI_SE_WIDOWS_CRK_FP,Alabama,Jackson,Not_in_a_city
1,071,42401,Daily maximum 1-hour average,1992,14.347107,,TVA_WIDOWS_CRK_270.8_MI_NW_WID_CRK_FP,Alabama,Jackson,Not_in_a_city
1,071,42401,Observed Values,1992,3.56795,,TVA_WIDOWS_CRK_270.8_MI_NW_WID_CRK_FP,Alabama,Jackson,Not_in_a_city
1,071,42401,Daily Average of observed values,1992,3.576446,,TVA_WIDOWS_CRK_270.8_MI_NW_WID_CRK_FP,Alabama,Jackson,Not_in_a_city
1,071,42401,3-Hour block average of observed hourly values,1992,3.54349,,TVA_WIDOWS_CRK_270.8_MI_NW_WID_CRK_FP,Alabama,Jackson,Not_in_a_city
1,071,81102,Daily Mean,1992,25.839286,,"DAYS_INN,_E._WILLOW_STREET.",Alabama,Jackson,Scottsboro
1,073,81102,Daily Mean,1992,28.433333,,"1500_1ST_AVE_N.,_BESSEMER,_AL",Alabama,Jefferson,Bessemer
1,073,12128,Observed Values,1992,0.355,,"NEW_JER.,_HAYES_INT'L,_1370_BORDEN_AVENU",Alabama,Jefferson,Leeds
1,073,11101,Observed Values,1992,70.4,North_Birmingham,"NO._B'HAM,SOU_R.R.,_3009_28TH_ST._NO.",Alabama,Jefferson,Birmingham
1,073,81102,Daily Mean,1992,39.260388,North_Birmingham,"NO._B'HAM,SOU_R.R.,_3009_28TH_ST._NO.",Alabama,Jefferson,Birmingham
1,073,12128,Observed Values,1992,0.1,,"EAST_B'HAM,_INTERSTATE,_1333_CAHABA_ST.",Alabama,Jefferson,Birmingham
1,073,42101,Obseved hourly values,1992,1.170539,,"EAST_B'HAM,_INTERSTATE,_1333_CAHABA_ST.",Alabama,Jefferson,Birmingham
1,073,42101,8-Hour running average (end hour) of observed hourly values,1992,1.177388,,"EAST_B'HAM,_INTERSTATE,_1333_CAHABA_ST.",Alabama,Jefferson,Birmingham
1,073,81102,Daily Mean,1992,28.540984,,"INGLENOOK,_ELEM._SCH.,_3937_44TH_AVE._NO",Alabama,Jefferson,Birmingham
1,073,12128,Observed Values,1992,0.0675,,"EAST_THOMAS,_FINLEY,_841_FINLEY_AVE._BP.",Alabama,Jefferson,Birmingham
1,073,42101,Obseved hourly values,1992,1.413691,,"EAST_THOMAS,_FINLEY,_841_FINLEY_AVE._BP.",Alabama,Jefferson,Birmingham
1,073,42101,8-Hour running average (end hour) of observed hourly values,1992,1.421686,,"EAST_THOMAS,_FINLEY,_841_FINLEY_AVE._BP.",Alabama,Jefferson,Birmingham
1,073,42101,Obseved hourly values,1992,0.937956,,"UAB,_LANE_TCH._CTR.,_409_12TH_ST._SOUTH",Alabama,Jefferson,Birmingham
1,073,42101,8-Hour running average (end hour) of observed hourly values,1992,0.945065,,"UAB,_LANE_TCH._CTR.,_409_12TH_ST._SOUTH",Alabama,Jefferson,Birmingham
1,073,42101,Obseved hourly values,1992,1.121786,,_2014_FIRST_AVE_NORTH,Alabama,Jefferson,Birmingham
1,073,42101,8-Hour running average (end hour) of observed hourly values,1992,1.128297,,_2014_FIRST_AVE_NORTH,Alabama,Jefferson,Birmingham
1,073,81102,Daily Mean,1992,31.229508,,"2301_11TH_AVE_NORTH,_BIRMINGHAM,_AL.",Alabama,Jefferson,Birmingham
1,073,11101,Observed Values,1992,44.934426,Fairfield,"FAIRFIELD,_PFD,_5229_COURT_B",Alabama,Jefferson,Fairfield
1,073,42101,Obseved hourly values,1992,0.79828,Fairfield,"FAIRFIELD,_PFD,_5229_COURT_B",Alabama,Jefferson,Fairfield
1,073,42101,8-Hour running average (end hour) of observed hourly values,1992,0.803924,Fairfield,"FAIRFIELD,_PFD,_5229_COURT_B",Alabama,Jefferson,Fairfield
1,073,42401,Daily maximum 1-hour average,1992,21.508197,Fairfield,"FAIRFIELD,_PFD,_5229_COURT_B",Alabama,Jefferson,Fairfield
1,073,42401,Observed Values,1992,7.001147,Fairfield,"FAIRFIELD,_PFD,_5229_COURT_B",Alabama,Jefferson,Fairfield
1,073,42401,Daily Average of observed values,1992,7.001366,Fairfield,"FAIRFIELD,_PFD,_5229_COURT_B",Alabama,Jefferson,Fairfield
1,073,42401,3-Hour block average of observed hourly values,1992,6.959986,Fairfield,"FAIRFIELD,_PFD,_5229_COURT_B",Alabama,Jefferson,Fairfield
1,073,44201,Daily maxima of observed hourly values (between 9:00 AM and 8:00 PM),1992,0.047572,Fairfield,"FAIRFIELD,_PFD,_5229_COURT_B",Alabama,Jefferson,Fairfield
1,073,44201,Daily maximum of 8 hour running average of observed hourly values,1992,0.039616,Fairfield,"FAIRFIELD,_PFD,_5229_COURT_B",Alabama,Jefferson,Fairfield
1,073,44201,Daily maximum of 8 hour running average of observed hourly values,1992,0.039616,Fairfield,"FAIRFIELD,_PFD,_5229_COURT_B",Alabama,Jefferson,Fairfield
1,073,61103,Observed Values,1992,0.952672,Fairfield,"FAIRFIELD,_PFD,_5229_COURT_B",Alabama,Jefferson,Fairfield
1,073,61104,Observed Values,1992,167.277778,Fairfield,"FAIRFIELD,_PFD,_5229_COURT_B",Alabama,Jefferson,Fairfield
1,073,44201,Daily maxima of observed hourly values (between 9:00 AM and 8:00 PM),1992,0.045828,McAdory,_ROUTE_8_MCADORY,Alabama,Jefferson,
1,073,44201,Daily maximum of 8 hour running average of observed hourly values,1992,0.038948,McAdory,_ROUTE_8_MCADORY,Alabama,Jefferson,
1,073,44201,Daily maximum of 8 hour running average of observed hourly values,1992,0.038948,McAdory,_ROUTE_8_MCADORY,Alabama,Jefferson,
1,073,12128,Observed Values,1992,0.531667,,"176_DUNNAVANT_RD,_LEEDS",Alabama,Jefferson,Leeds
1,073,12128,Observed Values,1992,0.071667,Leeds,_201_ASHVILLE_ROAD,Alabama,Jefferson,Leeds
1,073,81102,Daily Mean,1992,27.716667,Leeds,_201_ASHVILLE_ROAD,Alabama,Jefferson,Leeds
1,073,81102,Daily Mean,1992,31.715847,Wylam,1242_JERSEY_ST_WYLAM_AL,Alabama,Jefferson,Birmingham
1,073,12128,Observed Values,1992,0.118333,,"NEW_JERUSALEM,_ILCO,_ROUTE_2,_BOX_573",Alabama,Jefferson,Leeds
1,073,12128,Observed Values,1992,0.193333,,"NEW_JERUSALEM,_HOL_CHURCH,_RT._2,_BOX_54",Alabama,Jefferson,Leeds
1,073,44201,Daily maxima of observed hourly values (between 9:00 AM and 8:00 PM),1992,0.047085,,"3425_TAMASSEE_LANE,_HOOVER,_AL_35226",Alabama,Jefferson,Hoover
1,073,44201,Daily maximum of 8 hour running average of observed hourly values,1992,0.038059,,"3425_TAMASSEE_LANE,_HOOVER,_AL_35226",Alabama,Jefferson,Hoover
1,073,44201,Daily maximum of 8 hour running average of observed hourly values,1992,0.038059,,"3425_TAMASSEE_LANE,_HOOVER,_AL_35226",Alabama,Jefferson,Hoover
1,073,43205,Observed Values,1992,2.75,,"PINSON,_HIGH_SCH.,_BOX_360_HWY_75_NORTH",Alabama,Jefferson,Pinson
1,073,43205,Observed Values,1992,3.2,,"PINSON,_HIGH_SCH.,_BOX_360_HWY_75_NORTH",Alabama,Jefferson,Pinson
1,073,43206,Observed Values,1992,0,,"PINSON,_HIGH_SCH.,_BOX_360_HWY_75_NORTH",Alabama,Jefferson,Pinson
1,073,43206,Observed Values,1992,0,,"PINSON,_HIGH_SCH.,_BOX_360_HWY_75_NORTH",Alabama,Jefferson,Pinson
1,073,43218,Observed Values,1992,0,,"PINSON,_HIGH_SCH.,_BOX_360_HWY_75_NORTH",Alabama,Jefferson,Pinson
1,073,43218,Observed Values,1992,0,,"PINSON,_HIGH_SCH.,_BOX_360_HWY_75_NORTH",Alabama,Jefferson,Pinson
1,073,43233,Observed Values,1992,0,,"PINSON,_HIGH_SCH.,_BOX_360_HWY_75_NORTH",Alabama,Jefferson,Pinson
1,073,43233,Observed Values,1992,0,,"PINSON,_HIGH_SCH.,_BOX_360_HWY_75_NORTH",Alabama,Jefferson,Pinson
1,073,43801,Observed Values,1992,0.0625,,"PINSON,_HIGH_SCH.,_BOX_360_HWY_75_NORTH",Alabama,Jefferson,Pinson
1,073,43801,Observed Values,1992,0.8,,"PINSON,_HIGH_SCH.,_BOX_360_HWY_75_NORTH",Alabama,Jefferson,Pinson
1,073,43802,Observed Values,1992,0.1275,,"PINSON,_HIGH_SCH.,_BOX_360_HWY_75_NORTH",Alabama,Jefferson,Pinson
1,073,43802,Observed Values,1992,0.22,,"PINSON,_HIGH_SCH.,_BOX_360_HWY_75_NORTH",Alabama,Jefferson,Pinson
1,073,43803,Observed Values,1992,0.08,,"PINSON,_HIGH_SCH.,_BOX_360_HWY_75_NORTH",Alabama,Jefferson,Pinson
1,073,43803,Observed Values,1992,0.08,,"PINSON,_HIGH_SCH.,_BOX_360_HWY_75_NORTH",Alabama,Jefferson,Pinson
1,073,43804,Observed Values,1992,0.11125,,"PINSON,_HIGH_SCH.,_BOX_360_HWY_75_NORTH",Alabama,Jefferson,Pinson
1,073,43804,Observed Values,1992,0.13,,"PINSON,_HIGH_SCH.,_BOX_360_HWY_75_NORTH",Alabama,Jefferson,Pinson
1,073,43812,Observed Values,1992,0,,"PINSON,_HIGH_SCH.,_BOX_360_HWY_75_NORTH",Alabama,Jefferson,Pinson
1,073,43812,Observed Values,1992,0,,"PINSON,_HIGH_SCH.,_BOX_360_HWY_75_NORTH",Alabama,Jefferson,Pinson
1,073,43813,Observed Values,1992,0.145,,"PINSON,_HIGH_SCH.,_BOX_360_HWY_75_NORTH",Alabama,Jefferson,Pinson
1,073,43813,Observed Values,1992,0.12,,"PINSON,_HIGH_SCH.,_BOX_360_HWY_75_NORTH",Alabama,Jefferson,Pinson
1,073,43814,Observed Values,1992,0.825,,"PINSON,_HIGH_SCH.,_BOX_360_HWY_75_NORTH",Alabama,Jefferson,Pinson
1,073,43814,Observed Values,1992,0.7,,"PINSON,_HIGH_SCH.,_BOX_360_HWY_75_NORTH",Alabama,Jefferson,Pinson
1,073,43815,Observed Values,1992,0.4175,,"PINSON,_HIGH_SCH.,_BOX_360_HWY_75_NORTH",Alabama,Jefferson,Pinson
1,073,43815,Observed Values,1992,1.08,,"PINSON,_HIGH_SCH.,_BOX_360_HWY_75_NORTH",Alabama,Jefferson,Pinson
1,073,43817,Observed Values,1992,0.03,,"PINSON,_HIGH_SCH.,_BOX_360_HWY_75_NORTH",Alabama,Jefferson,Pinson
1,073,43817,Observed Values,1992,0.04,,"PINSON,_HIGH_SCH.,_BOX_360_HWY_75_NORTH",Alabama,Jefferson,Pinson
1,073,43819,Observed Values,1992,0,,"PINSON,_HIGH_SCH.,_BOX_360_HWY_75_NORTH",Alabama,Jefferson,Pinson
1,073,43819,Observed Values,1992,0,,"PINSON,_HIGH_SCH.,_BOX_360_HWY_75_NORTH",Alabama,Jefferson,Pinson
1,073,43820,Observed Values,1992,0,,"PINSON,_HIGH_SCH.,_BOX_360_HWY_75_NORTH",Alabama,Jefferson,Pinson
1,073,43820,Observed Values,1992,0,,"PINSON,_HIGH_SCH.,_BOX_360_HWY_75_NORTH",Alabama,Jefferson,Pinson
1,073,43824,Observed Values,1992,0.045,,"PINSON,_HIGH_SCH.,_BOX_360_HWY_75_NORTH",Alabama,Jefferson,Pinson
1,073,43824,Observed Values,1992,0.06,,"PINSON,_HIGH_SCH.,_BOX_360_HWY_75_NORTH",Alabama,Jefferson,Pinson
1,073,43828,Observed Values,1992,0,,"PINSON,_HIGH_SCH.,_BOX_360_HWY_75_NORTH",Alabama,Jefferson,Pinson
1,073,43828,Observed Values,1992,0,,"PINSON,_HIGH_SCH.,_BOX_360_HWY_75_NORTH",Alabama,Jefferson,Pinson
1,073,43829,Observed Values,1992,0.4275,,"PINSON,_HIGH_SCH.,_BOX_360_HWY_75_NORTH",Alabama,Jefferson,Pinson
1,073,43829,Observed Values,1992,0,,"PINSON,_HIGH_SCH.,_BOX_360_HWY_75_NORTH",Alabama,Jefferson,Pinson
1,073,43830,Observed Values,1992,0,,"PINSON,_HIGH_SCH.,_BOX_360_HWY_75_NORTH",Alabama,Jefferson,Pinson
1,073,43830,Observed Values,1992,0,,"PINSON,_HIGH_SCH.,_BOX_360_HWY_75_NORTH",Alabama,Jefferson,Pinson
1,073,43831,Observed Values,1992,0,,"PINSON,_HIGH_SCH.,_BOX_360_HWY_75_NORTH",Alabama,Jefferson,Pinson
1,073,43831,Observed Values,1992,0,,"PINSON,_HIGH_SCH.,_BOX_360_HWY_75_NORTH",Alabama,Jefferson,Pinson
1,073,43832,Observed Values,1992,0,,"PINSON,_HIGH_SCH.,_BOX_360_HWY_75_NORTH",Alabama,Jefferson,Pinson
